Field,Label,Value
id,Dataset ID,f3367e02-7d51-49b8-ab31-03d06309119c
title,Title of Dataset,Venezuela Airports (OpenStreetMap Export)
name,Dataset URL,hotosm_ven_airports
notes,Description,OpenStreetMap exports for use in GIS applications. This theme includes all OpenStreetMap features in this area matching ( Learn what tags means here ) : tags['aeroway'] IS NOT NULL OR tags['building'] = 'aerodrome' OR tags['emergency:helipad'] IS NOT NULL OR tags['emergency'] = 'landing_site' Features may have these attributes:  name name:en aeroway building emergency emergency:helipad operator:type capacity:persons addr:full addr:city source name:es  This dataset is one of many OpenStreetMap exports on HDX. See the Humanitarian OpenStreetMap Team website for more information.
dataset_source,Source,OpenStreetMap contributors
organization,Contributor,Humanitarian OpenStreetMap Team (HOT)
dataset_date,Reference Period,[2024-09-15T00:00:00 TO 2024-09-15T23:59:59]
last_modified,Updated,2024-09-15T01:34:39.158626
data_update_frequency,Expected Update Frequency,Every month
groups,Location,Venezuela (Bolivarian Republic of)
license_title,License,Open Database License (ODC-ODbL)
methodology,Methodology,Other
methodology_other,Define Methodology,Volunteered geographic information
caveats,Caveats/Comments,OpenStreetMap data is crowd sourced and cannot be considered to be exhaustive
tags,Tags,"aviation, facilities-infrastructure, geodata"
resource_1_created,Created,2019-12-06T09:03:25.621201
resource_1_description,Description,ESRI Shapefile
resource_1_format,File Format,SHP
resource_1_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/VEN/airports/points/hotosm_ven_airports_points_shp.zip
resource_1_id,Resource ID,3f964647-b5d5-4b33-bd90-6049b857195a
resource_1_last_modified,Updated,2024-09-15T01:34:39.158115
resource_1_metadata_modified,Metadata Updated,2024-09-15T01:38:09.463303
resource_1_microdata,Microdata,False
resource_1_dataset_id,Dataset ID,f3367e02-7d51-49b8-ab31-03d06309119c
resource_1_resource_type,Resource Type,api
resource_1_name,Resource Name,hotosm_ven_airports_points_shp.zip
resource_1_mimetype,MIME Type,
resource_1_size,Size,29.4K
resource_2_created,Created,2019-12-06T09:03:25.621213
resource_2_description,Description,ESRI Shapefile
resource_2_format,File Format,SHP
resource_2_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/VEN/airports/lines/hotosm_ven_airports_lines_shp.zip
resource_2_id,Resource ID,6a0e54d9-9486-4a0c-b74c-276a7bf38ac0
resource_2_last_modified,Updated,2024-09-15T01:34:39.158189
resource_2_metadata_modified,Metadata Updated,2024-09-15T01:38:13.747063
resource_2_microdata,Microdata,False
resource_2_dataset_id,Dataset ID,f3367e02-7d51-49b8-ab31-03d06309119c
resource_2_resource_type,Resource Type,api
resource_2_name,Resource Name,hotosm_ven_airports_lines_shp.zip
resource_2_mimetype,MIME Type,
resource_2_size,Size,176.9K
resource_3_created,Created,2019-12-06T09:03:25.621217
resource_3_description,Description,ESRI Shapefile
